key,value,unit,grade,kind,source,doc,note
entrainment.excess_at_30m.withdrawn,2.6,-,-,withdrawn,R_flux[0] taken as the release rate,52,"**withdrawn**, and the 'three symptoms, one number' claim with it. R_flux[0] is half the release rate and R_flux is a half flux; the total at 30 m is 254.63 kg/s"
entrainment.excess.withdrawn_1_72,1.72,-,-,withdrawn,R_flux read as the total,52,**withdrawn.** Half the true value; see rflux.is_a_half_flux
displacement.withdrawn_1_65,1.65,-,-,withdrawn,"difference of two ratios, one of them from a half flux",52,**withdrawn.** Use the qualitative statement instead
entrainment.withdrawn_span,0.8 to 5.9,-,-,withdrawn,five assumptions treated as independent,52,"**withdrawn.** The advection speed cancels, the mixture density never entered, and peak-to-bulk and the shape factor are the same knob. Two explicit scenarios replace it"
entrainment.conditional_ratio.t6_half_peak,2.479,-,C,comparison,"FFI test 6, 2*R_flux against the arc, bulk = 0.5 peak",54,"**illustrative conditional scenario, not a verified Gaussian profile and not a bound.** Test 4 gives 2.076 under the same assumption"
entrainment.conditional_ratio.t6_peak_equals_bulk,5.56,-,C,comparison,"FFI test 6, bulk = peak",54,"**extreme conditional scenario, not a lower bound.** It minimizes the inferred flux and therefore maximizes the model/inferred ratio; Test 4 gives 4.547"
humidity.bracket_count_depends_on_it,"5 of 6 at RH >= 75 %, 3 of 6 at RH <= 50 %",-,B,diagnostic,"six FFI trials at RH 0, 25, 50, 75, 90, 100 %",53,"**quote the assumed humidity wherever the count is quoted.** Tests 1 and 6 cross from inside the bracket to conservative below 50 %, and their LFL distances move by 54 and 57 % across the range"
humidity.horizontal_underprediction_at_every_rh,0.29 to 0.40,-,B,diagnostic,the two horizontal trials over the full RH range,53,both horizontal trials remain underpredicted throughout RH 0--100 %. This does **not** imply a strict orientation split: at RH 100 % one downward trial also remains underpredicted
humidity.strict_orientation_split_at_every_rh,False,-,B,diagnostic,six FFI trials over RH 0--100 %,54,the stronger orientation-separation claim is false at RH 100 %
sensors.fixed_x_cross_section_identifiable,False,-,A,diagnostic,15 polar-arc sensors at nominal radius 30 m,54,the arc is not a fixed downwind plane after wind rotation: x spans 18.88--29.84 m in Test 4 and 10.26--29.97 m in Test 6. Temporal means also cannot be divided by temporal maxima to infer a spatial peak-to-bulk factor
sensors.lateral_mean_over_peak.withdrawn,0.34 to 0.41,-,-,withdrawn,polar-arc time means divided by temporal maxima,53,**withdrawn.** The calculation treated a polar arc as a fixed-x cross-section and mixed temporal means with maxima
sensors.vertical_mean_not_identifiable,True,-,A,diagnostic,sensors reach 1.8 m; the model cloud is 5.7 to 7.7 m deep,53,"**the cross-sectional mean the mass balance needs cannot be measured.** 2.479 and 5.560 are diagnostic scenarios under stated assumptions, not measurements"
model.total_flux_t6_30m,254.63,kg/s,A,model,2 * R_flux from the trajectory,52,**no assumption on the model side.** Report both scenarios and do not average them; there is no distribution over the peak-to-bulk conversion
displacement.cloud_above_sensors,True,-,B,diagnostic,FFI test 6 at 30 m,52,the model places the centreline at 2.46 m and the sensors reach 1.8 m. **Qualitative only** -- an earlier numerical decomposition was withdrawn because it was taken from a half flux
entrainment.free_jet_also_excessive,2.2,-,A,comparison,Ricou-Spalding at 30 m against the measurement,48,"**the free-jet law over-predicts too.** A cold jet in a co-flowing wind entrains about half of what a free jet in still air does, and neither closure represents that"
depth.not_independently_adjustable,True,-,A,diagnostic,thermal-convection ablation,48,"removing the thermal term drops u* by 14 % and the depth by 4 %: R falls, B falls with it, and h barely moves"
ustar.inflation_at_30m,2.08,-,A,diagnostic,"FFI test 6, in-cloud against ambient friction velocity",48,"split about evenly between retained source shear in the ground term and thermal convection, which itself scales as h^(2/3) and so feeds back. **Both are defensible physics**; the sum is too much here"
depth.vs_passive_limit,3.0,-,A,diagnostic,FFI test 6 at 30 m against Pasquill-Gifford D,47,"the modelled cloud is 8.1 m wide and 7.8 m deep; the passive layer is 7.2 m and 2.6 m. **The width is right to 10 % and the depth is three times too large**, which is the whole factor of 2.6"
depth_cap.rejected,three registrations,-,A,diagnostic,"PREREG_lh2_depth_cap, _depth_plume, _depth_virtual",prereg,"**all three rejected on the dense-gas controls**: 36 %, then 1.33 % with the right stability curves, then 17 % with the measured k. Lowering the ceiling made it worse, which is the signature of a constraint removing real physics"
slabx.passive_depth_ratio,1.09,-,A,measurement,"Prairie Grass, depth against Briggs sigma_z",prereg,"**SLAB's own passive asymptote**: 1.87 at 10 m, 1.20 at 100 m, 1.09 from 300 m out. Nobody had written this down; the textbook top-hat factor of 1.5 is above anything the model produces passively"
premise.depth_is_not_bounded_by_passive,True,-,A,diagnostic,three rejected registrations,prereg,"**a cloud can be thicker than a passively dispersing layer.** Near the source it has gravity-driven spreading and shear of its own, so 'turbulence sets the maximum depth' is false and a ceiling is the wrong shape of correction"
control.passed_while_inert,3,occurrences,A,diagnostic,"bug 8, and PREREG_lh2_depth_cap NC1/NC2",prereg,**a control that passes while the code under test does nothing has tested nothing.** vertical_drag patched only the submodule; depth_cap's frame walk was broken. Both reported clean nulls. `depth_cap.fired_count` now makes it checkable
entrainment.vs_free_jet,1.17 to 1.48,-,A,diagnostic,"Ricou-Spalding law, 2 to 31 m, FFI test 6, correct source density",47,inside the scatter of the coefficient; **the entrainment is not the defect**
ffi.measurements_are_mutually_inconsistent,True,-,B,diagnostic,"FFI test 6, 30 m arc",47,the 21 vol% maximum implies -56 C and the coldest reading is -25.7 C. **Maximum concentration and minimum temperature are at different sensors and different times and cannot be combined**
ffi.temperature_sensors_unused,616,readings,-,measurement,"data/lh2_ffi_sensors.csv, kind = temperature",47,a second validation target that this work did not use until the entrainment question arose; it measures entrainment more directly than concentration does
flacs.test6_30m,"21 measured, 22-23 FLACS, 6.6 here",vol %,C,comparison,"Hansen & Hansen, PSEP 174 (2023) 376-390, table 3",45,"**FLACS predicts the near field far better.** It uses a pseudo-source -- 37 % H2 and 63 % air by mass at 25 K and 70 m/s, pseudo-diameter 0.11 m against the real 25.4 mm nozzle -- and the 70 m/s is selected, not derived"
flacs.test5_30m,"7.6 measured, ~7 FLACS, 6.95 here",vol %,C,comparison,as above,45,all three agree at 30 m on test 5
flacs.test5_100m,"1.5 measured, 2.0 FLACS, 0.11 here",vol %,C,comparison,as above,45,**the worst cell.** The downward release is substituted by a horizontal jet here (docs/18) and that holds at 30 m but not at 100
flacs.liftoff_agrees,True,-,B,comparison,tests 5 and 6,45,all three place test 6 as lifted and test 5 as grounded
flacs.50m_missed_by_all,True,-,C,comparison,"test 6, 50 m arc",45,"measured 2 %, FLACS 8 %, this work 0.63 %. Hansen & Hansen attribute it to a diagonal wind pushing the plume off the centreline -- a property of the measurement, not of any model"
humidity.hansen_used_90pct,90.0,%,-,measurement,"Hansen & Hansen 2023, table 2",45,"**FFI never reported it and this work assumes 75 %.** The difference alone moves the 30 m concentration by 16 %, which is why the distance to the flammable limit is the endpoint here"
crossmodel.test4_liftoff_agrees,True,-,B,comparison,Mack & Boot ICHS 2023 against scripts/cross_model.py,44,"EFFECTS report no lift-off at any wind speed; Briggs L_p here is 3.8, grounded"
crossmodel.test6_liftoff_agrees,True,-,B,comparison,as above,44,"EFFECTS report the 100 m sensor does not detect, a lifted plume; L_p here is 28.9, the only one of the six FFI trials above threshold"
crossmodel.near_field_ratio,0.37 to 0.39,-,C,comparison,"30 m arc maxima, tests 4 and 6",44,**Mack & Boot report the same signature on the same two trials** -- 'maximum values close to release are underpredicted' -- and attribute it to the integral and RANS classes rather than to EFFECTS
crossmodel.far_field_ratio,0.80 to 1.03,-,C,comparison,50 and 100 m arc maxima,44,
crossmodel.MG,1.57,-,C,comparison,"six arc maxima, tests 4 and 6, RH 75 % assumed",44,"MG above 1 is under-prediction. **Computed on an assumed humidity** that FFI never reported; reported for comparison with the literature, not as a basis for any claim"
comparison.not_possible,"different targets, rates, gaps",-,-,diagnostic,docs/36 section 36.3,36,"concentrations vs LFL distance, 0.07 to 10.3 kg/s, and each dataset missing a different input; a single performance table would be false"
slabx.buoyant_branch_exists,True,-,A,measurement,"core/plume.py is_lofted, EQ 6a branch",38,"**the branch is there.** The problem is that the rise is unbounded, not that it is absent; a feature table marking it as missing repeats error 9 of section C7a"
slabx.flash_is_an_input,True,-,A,measurement,core/source.py line 420,38,"liquid_fraction is supplied, not solved; this work computes it externally with a CoolProp isenthalpic flash"
degadis.core_is_momentumless,True,-,-,measurement,EPA Science Inventory record for DEGADIS,39,"ground-level low-momentum area sources, negatively and neutrally buoyant; jets come from a separate Ooms/JETPLUME front end"
degadis.aerosol_density_is_user_supplied,True,-,-,measurement,EPA record,39,the model does not characterise the density of aerosol releases
degadis.regulatory_designation,49 CFR 193.2059,-,-,measurement,GTI distribution note,39,"confirms error 6 of section C7a: this work once wrote that SLAB is the regulatory model, and DEGADIS is"
hgsystem.aeroplume_does_buoyant_jets,True,-,-,measurement,HGSYSTEM AEROPLUME user guide,39,"dense, neutral and buoyant jets at arbitrary release angle; the technical manual adds plume rise, fall and touchdown"
hgsystem.has_liftoff,True,-,-,measurement,Witlox HGSYSTEM/UF6 enhancements,39,buoyant plume lift-off against wind tunnel data; **so lift-off is not novel**
comparison.buoyant_rise_is_common,True,-,-,diagnostic,six models surveyed,39,"only the DEGADIS core and the HEGADAS module lack it, and both get it from a front-end model. Adding buoyant rise is not the contribution; knowing when it may not be used is"
comparison.phast_udm,unverified,-,-,measurement,commercial; manual not obtained,39,"its FFI predictions are in DNV GL 853182, which is not public"
effects.validation_outside_premise,3 of 6,-,A,diagnostic,"EFFECTS Table 2 conditions, run through premise_summary",35,"max w_c/u of 4.90, 2.93 and 1.76 on tests 2, 6 and 4"
effects.vertical_lfl_error.outside,-26 and -28 %,-,C,comparison,"EFFECTS Table 3, tests 6 and 4",35,"against 0 and -15 % on the two inside; n = 4, a direction not a correlation"
nasa.pool_radius.second_hand,2 to 3,m,C,measurement,"EFFECTS, citing observation",35,**the original does not report it**; the plume-width result depends on which is used and this one was found after seeing the failure
rise.P_W1.source_term_sensitivity,FAIL to PASS,-,-,diagnostic,"NASA Test 6, pond 4.55 m vs pool 3 m",35,"n goes 1.068 to 0.877; **not recorded as a pass**, because the input that decides it is not in the first-hand record"
provenance.bam.rate,"three sources, three values",-,-,measurement,"0.4, 0.37 and 0.8 kg/s",docs/README,unusable
